Cod_barras	Nome	id_Fabricante	Calorias_100g	Sodio_100g	FibrasAlimentares_100g	Acucares_100g	Proteinas_100g	GordurasTotais_100g	Quantidade	Un_Quantidade
3229820181950	Fourrés Chocolat lait Bio Bjorg		2033	0.2086614173	3.3	29	7.3	21	225	g
5410126806052	Speculoos Original		2033	0.3622047244	1.3	38.1	4.9	19	350	g
20093709	Galettes Bretonnes		2013	0.4960629921	2	30	6	19	250	g
3560070420179	Gressins au sésame et à l'huile d'olive vierge extra 8 g		2003	0.5905511811	4.6	2.1	15	22	125	g
3560070419456	Tortilla chips		2008	0.3937007874	4	1.5	6.7	22	125	g
3268350120558	Biscuits P'tit Déj' bio Céréales & Chocolat		2029	0.2244094488	7.1	24.7	6.3	22	190	g
3178530402698	Petits beurre 		2021	0.2322834646		29	6.5	18	250	g
3336970711057	Curly cacahuète l\'Original (format pause)		2041	0.669		1.4	12.7	24.2	60	g
3350033118065	Cookies aux pépites de chocolat noir		2035	0.2165354331	4.3	31	6.6	23	175	g
3431410131003	Crêpe dentelle Chocolat au lait		2030	0.2677165354		50	6	20	90	g
3560070600977	Galettes de riz nappées chocolat noir orange		2026	0.01	6	24	6.1	24	90	g
3449851140553	Le Bâton de Berger Noisettes		2016	1.5354330709		2.3	24	42	250	g
3560070725588	Mini galettes de riz au chocolat au lait		2026	0.0394	2.7	24	7.2	22	60	g
7071848006113	Véritable pain croquant norvégien - épeautre et graines de courge		2042	0.3976377953	14	2	18	27	220	g
3245413922403	Biscuit croustillants sésame		2038	0.3031496063	5.6	18	11.67	22.6	200	g
3760121210524	Cookies chocolat		2020	0.4	5.5	34	7	24	200	g
3564709005157	Crêpes Dentelle de Bretagne Pur beurre		2010	0.2137795276	2	34.7	6.4	16.9	85	g
3477730001503	Noir aux éclats de noisettes		2015	0.0027559055	8.2	29	6.5	35	100	g
3760122961241	6 Petites Baguettes de Sablé Pur Beurre aux Éclats de Noisettes et Chocolat au Lait		2028	0.1692913386		33.3	7	23	93	g
3178530411195	Crêpes Chocolat au lait		2020	0.3188976378		33	7.5	27	192	g
5000396015935	 McVitie's Digestive		2020	0.6	3.4	16.8	6.9	21.8	400	g
3336971112013	Curly Cacahuète Les Maxis		2041	0.6692913386		1.4	12.7	24.2	200	g
26034669	Gaufrettes fines au beurre		2021	0.188976378		39	6.1	19.4	240	g
3175681140806	Palets de Céréales au Riz Coco & saveur Citron Bio		2017	0.252	6.4	18	7.7	22	130	g
3178530408409	Tronches de Cake croustillant		2041	0.2362204724	3.5	30	6	22	220	g
26035468	les galettes bretonnes pur beurre		2031	0.3937007874		24	7	20	125	g
3222471834732	Galettes Bretonnes		2040	0.2244094488		25	6.3	21	125	g
3560070907564	Chips de Légumes		2042	0.5511811024	9.3	19	6.5	27	100	g
3564709001579	Galettes du Bocage Normand		2025	0.1901574803	2	25.3	6.2	18.6	375	g
3760029247127	Coulis de camarel au beurre salé au sel de Guérande		2024	0.2401574803		45.8	0.6	27.4	330	g
3561770000036	Crème de Salidou		2042	0.188976378		41.1	1	28	220	g
3336971202059	Curly Cacahuète l'Original		2041	0.6692913386		1.4	12.7	24.2	325	g
3245390021908	Galette du Cotentin Pur Beurre		2030	0.157480315	1.8	26	6.2	19	375	g
3175681120679	Maxi Cookies Gros Chunks de Chocolat Noir et Cacao		2017	0.224	5.3	33	7.1	23	185	g
3178530407365	Sirtaki		2027	0.3503937008	2.8	28	6.3	20	100	g
3268350120367	Cookies Tout choco - Chocolat Noir et Pépites de Chocolat		2041	0.2598425197	4.3	29.4	6.3	23.2	175	g
3222475123597	Cookies aux Pépites de Chocolat Noir 		2035	0.2165354331	4.3	31	6.6	23	175	g
3368955782202	Fins sablés aux fruits rouges au beurre et à la crème fraîche d'Isigny AOP		2042	0.1181102362	1.8	32.3	6.2	21.3	150	g
3270720080102	Graines & fruits		2033	0.0039370079	7.5	40.6	11.1	28.3	250	g
3256224371410	Gressins Sésame à l'Huile d'Olive Vierge Extra 8%		2026	0.5905511811	4.5	2.5	14	23	125	g
3760077531865	Grissini artigianali sésame		2042	0.6299212598	5.5	1.9	13	20	300	g
3512690000101	Le Sec Nature		2020	1.7322834646		1.3	27	41.6	200	g
3770002558126	Macaron d'antan framboise acidulée		2046	0.0157480315	0	48.9	14.7	25.7	120	g
3266191085739	Mon Petit Goûter au Cacao		2014	0.2362204724	3.2	33	8.6	19	185	g
3270190155584	Pétales salés		2029	0.9448818898	4	0.5	2.5	23	75	g
7622300737955	Tuc mini snacks		2020	0.8858267717	2.3	6.3	8	22	100	g
3268350120824	Équi'libre petit épautre et chocolat		2033	0.1377952756	5.5	18.5	7.5	23.2	150	g
2000000000094	A L'Heure de ... Palmiers Pur Beurre		2004	0.42	1.7	22.8	8.1	19.3	16	g
3396411227486	Brownie au chocolat noir et noix grillées		2015	0.2204724409	3.5	35	6.6	30	285	g
3256220363334	Chips légères Nature, - 30% MG		2017	0.3937007874	5	0.5	7	24	125	g
20384425	Family Brownie Chocolat noisettes		2014	0.2047244094		37	7.5	30	285	g
3263853107013	Fine Ligne Chips légères		2016	0.3818897638	5	0.5	7	24	125	g
3368954400770	Galettes Citron Vert		2014	0.3543307087	2.1	30	5.6	19	100	g
3256225054756	Goûters fourrés Fruits rouges		2007	0.2165354331	3.7	27.6	7.4	19.9	185	g
26039510	Hillcrest Nut Bars Choc Peanut		2020	0.023	9.7	27.9	15.8	26	225	g
3178530409604	Petites Galettes Pépites de Chocolat 		2042	0.2992125984	3.1	27	7.5	18	700	g
5412514933050	Tortilla BIO chips Sour Cream & Onion		2009	0.5118110236		1.5	6.7	21.5	125	g
8480017076489	Aros de maíz &quot;Dia&quot;		2049	0.45	4.4	2.9	5.6	26	200	g
3278310003104	Beurre Le Hameau demi-sel		2010	0.9842519685		1	0.7	80	500	g
3760121211873	Biscuits nappés chocolat noir		2040	0.236	5	23	9.5	23	160	g
3113010128750	Bloc de foie gras de canard au porto		2002	0.562992126		1.6	6.3	50.1	200	g
3339881001026	Canistrelli aux Amandes		2008	0.2637795276		28.8	6.9	19.4	350	g
3435070029205	Charles VII Fondant Chocolat au Lait		2029	0.2204724409	1.5	31	8.3	21	175	g
3700311810516	Chocolat		2034	0.0039370079	6.8	59	5.4	23	500	g
3410280021959	Chorizo Pur porc (Fort)		2006	2.44		3.3	18.7	44	225	g
3067163621678	Classic, bloc de foie gras de canard		2017	0.4488188976		0.9	5.9	50	200	g
20181482	Croustillants Cacahuète		2043	0.6299212598	3	2.2	15	22.5	140	g
5000396037937	Digestive		2013	0.5118110236	3.6	16.5	7.1	21.3	400	g
7610200021120	FLUTES AU BEURRE AFIRO		2000	0.8661417323	3.5	6	13	22	150	g
8480017032645	Figuras de mazapán		2024	0.0078740157		55	8	24	200	g
8480000364074	Figuritas de mazapán		2005	0.0039370079	2.3	55	8.6	25	200	g
20276607	Galettes au beurre		2014	0.188976378	1.3	42	5.9	16.3	250	g
4004980517905	Kesselnüsse		2025	0.6692913386		7.7	14	25	125	g
7610036000337	Larmes de Cognac		2020	0.0000787	1.5	56	5	23	100	g
3588570003524	Le Régal nappé de chocolat au lait		2029	0.1771653543	3.3	18.4	6.9	19.2	250	g
4003754176447	Lübecker Edelmarzipan Happen		2027	0.0039370079		43	9.9	29	100	g
4104420053847	Mais Chips natur		2009	0.3149606299	4	1.5	6.7	21.5	125	g
4104420054806	Mais-Chips Paprika		2009	0.5118110236	4	1.5	6.7	21.5	125	g
4000161100904	Marzipan Klassiker ohne Schokolade		2006	0.0078740157		35.8	10.8	30.7	100	g
4000161440673	Marzipan-Robben		2010	0.0078740157		35.9	10.8	30.7	100	g
3560070559619	Mini-Flûtes 		2032	0.7480314961	3.5	3	12	22	125	g
26192000	Nut Bars Choc Almond and Cranberry		2030	0.022	7.8	29.6	14	25.4	225	g
3760029244003	Palets de Belle-Ile-en-Mers au beurre frais		2033	0.3937007874		21.3	4.5	29	180	g
3760020501051	Pesto tomate parmesan		2014	0.8858267717	5	5.8	5.2	46.5	180	g
20127541	Petit Beurre au Chocolat Noir		2035	0.256	4.1	37	6.2	22.1	150	g
3396411223143	Petit Normand Nature (15% offert)		2011	0.3937007874		24	9.5	19	140	g
3560070504701	Pop n' Croc		2043	0.16535	2.3	51	7.3	23	175	g
5901869009645	Saucisse au mètre		2022	1.5748031496		0.5	23.6	42.5	105	g
3265475016001	Saveur Poulet Rôti Tomate et Ail		2009	1.1023622047		6.2	1	50	230	g
26018324	Soufflés Cacahuètes		2025	0.72	5	1.4	13.1	23.6	200	g
3555080708591	Tablette Chocolat Noir Fourré au Caramel au Beurre Salé à la Fleur de Sel		2049	0.0708661417	5.2	47	5.8	26	100	g
3760077534583	Taralli aux olives noires		2023	0.9448818898	2	8.4	10	21	200	g
8423207207478	Tortitas de maíz con tomate		2014	0.4724409449	1.6	0.8	7.7	17	123.5	g
3222475720444	chocolat noir fourré pate d'amande		2029	0.0078740157	4.5	48	6.8	25	155	g
5000167082890	no sugar added Swiss milk chocolate		2000	0.0787401575	2.9	11	6.7	34	100	g
3260260031412	2 Galettes Pur Beurre		2042	0.2637795276		28	4.7	19	19	g
20277406	Almendras garrapiñadas		2044	0.0039370079		59.3	6.3	19.4	200	g
602652176616	Almond & Coconut gluten Free Nut Bar		2039	0.07	7	31	8	29	40	g
8480000335760	Aperitivo de maíz &quot;Hacendado&quot; Cuquis		2003	0.8	1.8	1.2	5.7	19.9	80	g
8413671022202	Aros de maíz &quot;Chaskis&quot; (100 g)		2006.4	0.8	3	3.2	5.8	21	100	g
8413671030603	Aros de maíz &quot;Chaskis&quot; (150 g)		2006.4	0.8	3	3.2	5.8	21	150	g
8413671022042	Aros de maíz &quot;Chaskis&quot; (200 g)		2006.4				5.8	21	200	g
5425008344584	Barre au Chocolat Superfruit NewTree		2046	0.0043	20.5	28.6	5.1	33.4	30	g
836110002074	Barre de Chocolat aux Amandes NewTree		2020	0.05	20	26.7	10	40	30	g
24001885	Barritas de cereales chocolate negro		2040	0.1496062992	8.2	38	5.9	24	200	g
20128609	Bio-Sonnenblumenkerne		2008	0	5.8	3.5	26.1	26.3	600	g
3497900007111	Biscuit Olives		2000	0.7480314961	3.7	1.3	10	22	100	g
3350033092419	Biscuit Sablé Panda Goût Vanille Cacao (x 8)		2001	0.125984252		25	6.2	20	120	g
60465005828	Biscuits au gingembre		2010	0.111	0	37	3.7	18.5	400	g
3250392250249	Biscuits aux céréales (25 % de Chocolat Noir)		2042	0.0984251969	5.1	22.1	8.9	21.3	180	g
3662790003325	Biscuits à la tomate séchée et basilic		2037	0.6299212598		7.7	6.2	26.3	75	g
3564700083642	Bloc De Foie Gras De Canard		2025	0.3937007874	0.8	1.8	6.1	50	80	g
3257980085788	Bloc de Foie gras de canard du Sud-Ouest		2030	0.4094488189	0.9	1.8	6.2	50.6	180	g
3257980085764	Bloc de Foie gras de canard du Sud-Ouest		2030	0.4094488189	0.9	1.8	6.2	50.8	80	g
3257982161565	Bloc de Foie gras de canard du Sud-Ouest		2030	0.4094488189	0.9	1.8	6.2	50.8	300	g
3245412512179	Bloc de foie gras de canard		2044	0.5511811024		0.8	6.8	50	200	g
3350030201029	Bloc de foie gras de canard 2 tranches		2003	0.4724409449		1.4	6.3	50	80	g
3250391773688	Bloc de foie gras de canard avec morceaux		2000	0.5590551181		0.6	6.9	50.6	200	g
3113010125865	Bloc de foie gras de canard avec morceaux		2014	0.4409448819		1.3	6	51	350	g
3250391095605	Bloc de foie gras de canard avec morceaux		2039	0.4724409449		1.3	6.6	51	300	g
3250390424079	Brownie choco noisettes		2028	0.2047244094		35.8	7.5	30.1	285	g
9310072000411	Butternut Snap Cookie		2030	0.536		37.5	4.6	20.6	250	g
8000015003081	CAVEOSI		2000	0.33	2	24.6	6.4	18.8	300	g
9300617324126	Cadbury Crunchie 12 Treat Size		2020	0.221		65.9	3	18.4	216	g
3339883010170	Canistrelli aux amandes		2008	0.2637795276		28.8	6.9	19.4	1100	g
8480017020215	Chips allégées		2002	0.4330708661		0.4	6.3	24	125	g
9400553011477	Choc Thins		2010	0.35		33.4	5.5	21.1	200	g
8480017155436	Chocolate Mints		2005	0.0118110236		67	4.9	19.9	200	g
8411814206885	Chorizo Fort 		2022	1.4763779528		2	18	45	200	g
8411814215863	Chorizo Fort (Offre Spéciale Lot de 2 x 200 g)		2022	1.4763779528		2	18	45	400	g
8411814210806	Chorizo doux de Pays Navarre		2022	1.7716535433		2	18	45	200	g
3700656401158	Coppa		2027	1.5748031496		0.4	27.6	28.6	80	g
26080994	Crackers goût Wasabi		2013	0.9842519685		6.1	9.2	22	100	g
3222475718991	Crackers sésame & pavot		2043	0.6692913386	4.5	6.5	9	23	100	g
819701	Creamy Burger Mayo		2030	0.54	0.5	17.9	0.8	46.1	280	ml
8480000670151	Crema de cacahuete		2041	1	7.3	12.2	24.3	47.4	350	g
3535800172659	Crêpes Dentelle Chocolat au lait & Chocolat noir		2020	0.2559055118		48	6	20	420	g
3270160801534	Crêpes Dentelle Enrobées de Chocolat au Lait		2045	0.2716535433	2.2	43.7	6.1	20	100	g
8410376016789	Digestive		2025	0.6299212598	3	18	6	21	400	g
4001518003312	Duo Keks Kakao		2002	0.1377952756	3	33	6	19	500	g
8008714000899	Eldorada Olio di Olivia		2004	0.4724409449	4.8	0.5	7	23.8	130	g
24086721	Figuritas de mazapán		2001	0.0039370079		56	8.4	27	200	g
8410350065055	Figuritas de mazapán		2001	0.0039370079		56	8.4	24	100	g
8431876251197	Figuritas de mazapán		2004	0	4.5	55	8	24	300	g
8433329039826	Figuritas de mazapán		2024	0.0039370079		36	11.3	27	200	g
8433329039833	Figuritas de mazapán		2024	0.0039370079		36	11.3	27	400	g
3700428432885	Foie gras de canard entier au poivre de Madagascar		2000	0.4015748031		0	6.9	50.1	180	g
85366013000299	French pure butter cookies		2030	0.177	3.23	25.8	6.45	19.4	125	g
3250390183976	Galettes Bretonnes Pur Beurre		2033	0.437007874		24.2	6.1	19.6	125	g
3258563020295	Galettes Sablées aux Fruits Rouges 		2019	0.1377952756	2.3	33	5	21	150	g
5410126716016	Galleta Caramelizada		2032	0.3622047244	1.3	38.1	4.9	19	250	g
8421691784543	Galleta Digestive		2025	0.6299212598	3	18	6	21	800	g
8421691477292	Galleta Digestive avena		2021	0.3937007874	6.4	22	7	22	425	g
8410196051380	Galletas B-SAN Integral Chocolate sin azúcares añadidos		2033	0.0826771654	5.9	1	8.2	31	120	g
8430803027225	Galletas Digestive		2025	0.6299212598	3	18	6	21	800	g
7622210114730	Galletas Digestive		2015	0.6614173228	4.3	18	7.1	20.5	700	g
20204389	Galletas Digestive		2025	0.6299212598	3	18	6	21	800	g
20204433	Galletas Digestive Avena		2021	0.3937007874	6.4	22	7	22	425	g
8480017092991	Galletas Digestive Avena		2021	0.3937007874	6.4	22	7	22	425	g
24044882	Galletas Digestive Avena		2021	0.3937007874	6.4	22	7	22	425	g
20204365	Galletas Digestive Naranja & Soja		2011	0.5118110236	4	18	6.7	21	800	g
8480017092984	Galletas Digestive Soja & Frutas		2011	0.5118110236	4	18	6.7	21	800	g
24044080	Galletas Digestive Soja y fruta		2011	0.5118110236	4	18	6.7	21	800	g
24018128	Galletas Digestive Tradicional		2025	0.6299212598	3	18	6	21	800	g
8431876005066	Galletas Horneadas		2022	0.1968503937	3	20	6	20	500	g
8410014305169	Galletas Maria Oro Cuetara		2021	0.3149606299		21	6.4	20	675	g
5941634001061	Gluten Free Blueberry Granola Bars		2011	0.1023622047	4	30	12	23	141.75	g
5060422870099	Go-Go-Goji Berries		2040	0.0984	7.25	35.5	15.5	27.5	40	g
3182650148985	Grandes Galettes Pur Beurre		2047	0.2834645669	1.5	25.3	6.9	20.9	400	g
3182650248739	Grandes galettes & Palets bretons		2047	0.2834645669	1.5	25.3	6.9	20.9	400	g
3182650008982	Grandes galettes pur beurre aux oeufs frais		2047	0.2834645669	1.5	25.3	6.9	20.9	400	g
8606107223124	Gricko		2047	0.5905511811	2.8	9.8	13.3	24.5	40	g
4013200332198	Grissini Piccoli Tomate & Basilikum		2011	0.7874015748	3.4	3.4	16	21	100	g
50300853	Italian Dressing		2013	0.882	0.5	0.3	0.1	53.8	250	ml
5410471903024	Jules' Gourmandises		2003	0.1968503937		43.5	6.4	19.1	240	g
4001518110294	Keks Geknusper		2011	0.1968503937	3.8	48	7	20	156	g
4000161110170	Klassiker-Variationen Espresso Orange Ananas Pistazie		2038	0.0157480315		37.7	9	31	200	g
42305880	Kokos		2044	0.0393700787	8.4	28	4.8	31	75	g
3104544018860	La Bûche Gastronomique 		2011	0.4330708661		0.9	6	50	300	g
3263852910713	La Galette Fine au Chocolat		2039	0.3937007874		36	7	20	100	g
3368390000190	Le Palmier d'Armor Pur Beurre		2013	0.4330708661		25	5.6	22	360	g
3226219005705	Le sablé de l'abbaye		2000	0.1653543307	1.5	25	7	19	315	g
3700663000399	Les Assaisonnettes - La Tonique - Gingembre, Curcuma Citron		2000	0.3503937008	1.1	0	1	51	36	cl
3472860003557	Les Cookies de la Mère Poulard Pomme-Caramel		2028	0.2913385827		32.9	5.2	20.6	300	g
3700125800826	Les Dragées Les Classiques au coeur d'Amande		2016	0.0039370079		58.9	9.6	20.1	500	g
3328481290770	Les Florentins ® BIO Chocolat noir		2036	0.1968503937		45	7	25.9	100	g
7613035903524	Lion white 2 pack		2030	0.2283464567	0.4	50.1	5.7	22.1	60	g
4003754178076	Lübecker Edelmarzipanbrot		2025	0.0039370079		43	9.9	28	75	g
8713445070041	Mais flips - peanut & roasted cashew		2045	0.5511811024		0	13	21	75	g
4000161400219	Marzipan Kartoffeln		2004	0.0078740157		35.6	10.9	30.6	150	g
4000161050292	Marzipan Knusperbrot Rum-Traube		2024	0.0196850394		39.1	9.2	29.4	125	g
4000161400516	Marzipan Rumkugeln		2004	0.0078740157		35.6	10.9	30.5	150	g
4000161600091	Marzipan-Ei		2047	0.0118110236		36.2	10.2	31.8	200	g
4000161740308	Marzipanfigur		2037	0.0078740157		36.3	10.3	31.4	30	g
8422584000511	Mayonesa sin huevo ecológica &quot;Ecocesta Productos Ecológicos&quot; (Mayonesoja)		2008				4	52	240	g
8421691560970	Mazapán de Soto		2039	0	5.5	38	10.5	26	200	g
718122600595	Mini Croutons Soup Mandel		2040	0.11	2.67	0	6.67	30	200	g
1151	Mini Crêpes ChocoLait		2018	0.0787401575	1.7	48	6.7	18	370	g
8480017541857	Mini saucisson sec 		2027	2.2	0	4.1	28	40	100	g
2000000017785	Ptit Beurre Breton		2025	0.2755905512	0	26.7	6.2	20.7	310	g
3350031637513	Pétales soufflés croquants		2046	0.9566929134	4	1	3.5	23	75	g
9300650012349	Ritz Snackz Smoky Bacon Flavour		2030	1.15		7.8	8	23.3	100	g
4000161620112	Rumtrauben-Marzipan		2029	0.0196850394		40.1	9	29.5	100	g
20594442	Sablés aux fruits rouges		2021	0.1338582677		33	5.2	21	150	g
20045463	Saucisson sec aux noix		2033	1.5748031496	0	2.6	24	4.23	250	g
8423348402336	Saucissons Secs		2010	1.3779527559		2.5	24	42	70	g
5997591100545	Slims Zartbitter		2025	0.094488189		52.7	6.1	21.7	125	g
5400113569435	Soft baked all chocolate		2011	0.2401574803	4	36.5	5.5	22	168	g
3257980832290	Soufflés cacahuète		2027	0.688976378	4.8	1.3	12.5	23.6	180	g
3257984499307	Soufflés goût Bacon		2007	1.4960629921	3.1	2.7	8.2	22	60	g
3245390015594	Soufflés goût Bacon		2021	1.4960629921	3	2.7	8	23	40	g
